,state,short_name,production
0,Alaska,AK,0.0
1,Alabama,AL,13.9
2,Arkansas,AR,165.2
3,Arizona,AZ,0.0
4,California,CA,0.0
5,Colorado,CO,0.0
6,Connecticut,CT,0.0
7,Delaware,DE,7.1
8,Florida,FL,0.5
9,Georgia,GA,5.4
10,Hawaii,HI,0.0
11,Iowa,IA,564.9
12,Idaho,ID,0.0
13,Illinois,IL,698.8
14,Indiana,IN,346.3
15,Kansas,KS,204.5
16,Kentucky,KY,103.5
17,Louisiana,LA,62.4
18,Maine,ME,0.0
19,Maryland,MD,24.5
20,Massachusetts,MA,0.0
21,Michigan,MI,109.4
22,Minnesota,MN,389.4
23,Missouri,MO,261.0
24,Mississippi,MS,119.4
25,Montana,MT,0.0
26,North Carolina,NC,53.4
27,North Dakota,ND,243.5
28,Nebraska,NE,333.4
29,New Hampshire,NH,0.0
30,New Jersey,NJ,4.1
31,New Mexico,NM,0.0
32,Nevada,NV,0.0
33,New York,NY,16.8
34,Ohio,OH,288.8
35,Oklahoma,OK,18.0
36,Oregon,OR,0.0
37,Pennsylvania,PA,28.4
38,Rhode Island,RI,0.0
39,South Carolina,SC,11.1
40,South Dakota,SD,256.7
41,Tennessee,TN,76.8
42,Texas,TX,4.3
43,Utah,UT,0.0
44,Virginia,VA,25.4
45,Vermont,VT,0.0
46,Washington,WA,0.0
47,Wisconsin,WI,105.8
48,West Virginia,WV,1.4
49,Wyoming,WY,0.0
